cnt_answer,gmv,sum_online_time,cnt_call,sum_online_time_lag,cnt_call_lag,cnt_finish,date,time
0.525425649,0.605274015,0.96623561,0.495001558,1.142508561,0.877711194,0.400698618,1,1
0.512580436,0.536892139,0.837791009,0.431432915,0.96623561,0.495001558,0.403463332,1,2
0.463269376,0.443785844,0.731284508,0.367642722,0.837791009,0.431432915,0.380339664,1,3
0.396735783,0.364414623,0.626105711,0.307681899,0.731284508,0.367642722,0.324800872,1,4
0.341033659,0.324046967,0.540338059,0.25612367,0.626105711,0.307681899,0.279731932,1,5
0.302415728,0.283253507,0.477800023,0.212874409,0.540338059,0.25612367,0.250116854,1,6
0.266406945,0.278891188,0.43879463,0.17704072,0.477800023,0.212874409,0.228212339,1,7
0.236797134,0.282708196,0.413743821,0.148171166,0.43879463,0.17704072,0.209290173,1,8
0.213620382,0.267539538,0.404265017,0.128218721,0.413743821,0.148171166,0.192771762,1,9
0.19110775,0.278239333,0.402577414,0.122082977,0.404265017,0.128218721,0.167199001,1,10
0.173863656,0.312752305,0.396845568,0.139703336,0.402577414,0.122082977,0.15160944,1,11
0.20441799,0.340734566,0.430780253,0.199222769,0.396845568,0.139703336,0.17971256,1,12
0.364892709,0.455472074,0.583114802,0.324050059,0.430780253,0.199222769,0.319511913,1,13
0.764583265,0.890488158,0.978143401,0.53740707,0.583114802,0.324050059,0.660394685,1,14
1.459824039,1.760441257,1.625089217,0.842753633,0.978143401,0.53740707,1.185926717,1,15
2.319691475,2.558483069,2.33103912,1.208842019,1.625089217,0.842753633,1.733189619,1,16
3.06836321,3.023205291,2.798643084,1.578763818,2.33103912,1.208842019,2.270392736,1,17
3.347893643,2.955473091,2.781116604,1.875491052,2.798643084,1.578763818,2.517955544,1,18
3.060893307,2.704907148,2.455139541,2.027810986,2.781116604,1.875491052,2.508752323,1,19
2.534493773,2.458676389,2.109304409,2.02451368,2.455139541,2.027810986,2.361444168,1,20
2.169169227,2.198226931,1.874702625,1.908490357,2.109304409,2.02451368,2.216682941,1,21
2.020378101,1.909950556,1.725873882,1.758633712,1.874702625,1.908490357,2.112727977,1,22
1.981404251,1.972431345,1.607547856,1.652501106,1.725873882,1.758633712,2.229132406,1,23
2.022534403,2.288975879,1.555572162,1.630454435,1.607547856,1.652501106,2.30721476,1,24
2.141063344,2.324569437,1.57585107,1.678646799,1.555572162,1.630454435,2.175880965,1,25
2.270453325,2.486046302,1.558511124,1.766106525,1.57585107,1.678646799,2.048236013,1,26
2.325509303,2.489853489,1.498504963,1.8580842,1.558511124,1.766106525,2.140414835,1,27
2.330160325,2.483645215,1.505802431,1.933133701,1.498504963,1.8580842,2.249007929,1,28
2.337004964,2.411267011,1.620242349,1.989592811,1.505802431,1.933133701,2.348352899,1,29
2.311861058,2.190932839,1.760320146,2.04598657,1.620242349,1.989592811,2.394434044,1,30
2.341635306,2.090952935,1.876458828,2.122854361,1.760320146,2.04598657,2.445794631,1,31
2.384642076,2.185651108,1.967741932,2.214942948,1.876458828,2.122854361,2.519810655,1,32
2.464926026,2.197571522,2.047474178,2.29865825,1.967741932,2.214942948,2.600267583,1,33
