gmv,const,cnt_call,sum_online_time,cnt_call_lag,sum_online_time_lag,is_exp,cnt_answer,cnt_finish,date,time
0.631692569,1,0.473960431,0.854108568,0,0,-1,0.493933714,0.428493697,1,1
0.534165928,1,0.404515212,0.655728374,0.473960431,0.854108568,-1,0.442037824,0.393463011,1,2
0.482494116,1,0.348413094,0.527531969,0.404515212,0.655728374,1,0.44325035,0.4083443,1,3
0.412198273,1,0.27806285,0.46194527,0.348413094,0.527531969,1,0.393950446,0.364530424,1,4
0.308094331,1,0.21177004,0.447592235,0.27806285,0.46194527,-1,0.318083445,0.284369193,1,5
0.267019244,1,0.176547021,0.454301347,0.21177004,0.447592235,-1,0.284874353,0.247588109,1,6
0.273043221,1,0.161422447,0.490296489,0.176547021,0.454301347,1,0.287244437,0.247519098,1,7
0.280166832,1,0.144155099,0.467084571,0.161422447,0.490296489,1,0.251116574,0.21959317,1,8
0.25045656,1,0.123944387,0.389308736,0.144155099,0.467084571,-1,0.217118701,0.180110508,1,9
0.258446255,1,0.113022799,0.330628893,0.123944387,0.389308736,-1,0.200346184,0.160741827,1,10
0.287591834,1,0.117724885,0.318265618,0.113022799,0.330628893,1,0.190916326,0.16360762,1,11
0.316755188,1,0.148322788,0.329876807,0.117724885,0.318265618,1,0.209210472,0.191374672,1,12
0.410878991,1,0.226900245,0.41176077,0.148322788,0.329876807,-1,0.346977113,0.310490766,1,13
0.65902864,1,0.384642309,0.684133844,0.226900245,0.41176077,-1,0.742026791,0.664176092,1,14
1.010458341,1,0.641587926,1.18108534,0.384642309,0.684133844,1,1.51205746,1.372069896,1,15
1.178592116,1,0.943606026,1.76745527,0.641587926,1.18108534,1,2.208338027,2.150706917,1,16
1.358275585,1,1.198042742,2.069915092,0.943606026,1.76745527,-1,2.54295264,2.622279506,1,17
1.640251383,1,1.449028693,2.100167113,1.198042742,2.069915092,-1,2.781299583,2.940500676,1,18
2.081826758,1,1.687272179,1.798519617,1.449028693,2.100167113,1,2.943799665,3.137404057,1,19
2.060015154,1,1.751985805,1.408484589,1.687272179,1.798519617,1,2.726676121,2.754676022,1,20
1.67036882,1,1.659735845,1.228456316,1.751985805,1.408484589,-1,2.353273178,2.047993149,1,21
1.682092835,1,1.582558648,1.291995885,1.659735845,1.228456316,-1,2.076630025,1.93040903,1,22
1.92645646,1,1.510000947,1.489996326,1.582558648,1.291995885,1,2.221349407,2.173966475,1,23
2.000731095,1,1.359119902,1.657760548,1.510000947,1.489996326,1,2.218170252,2.234950852,1,24
1.695525586,1,1.237555299,1.667627054,1.359119902,1.657760548,-1,2.007916782,2.030008961,1,25
1.718551895,1,1.300023042,1.682145599,1.237555299,1.667627054,-1,2.034749145,2.062310874,1,26
2.258663334,1,1.518338868,1.728598573,1.300023042,1.682145599,1,2.327814371,2.382144304,1,27
2.35129761,1,1.708806471,1.692785644,1.518338868,1.728598573,1,2.431487038,2.414434125,1,28
2.006203603,1,1.802611258,1.579240493,1.708806471,1.692785644,-1,2.31612235,2.263107335,1,29
1.935216475,1,1.9404492,1.433344991,1.802611258,1.579240493,-1,2.32767069,2.300547555,1,30
2.243152661,1,2.110520909,1.325998836,1.9404492,1.433344991,1,2.543983085,2.578953858,1,31
2.26180319,1,2.080986102,1.306452925,2.110520909,1.325998836,1,2.582062915,2.66119241,1,32
2.045671989,1,1.868009866,1.36561021,2.080986102,1.306452925,-1,2.282341674,2.424098481,1,33
1.905729281,1,1.764576299,1.504558635,1.868009866,1.36561021,-1,2.133002653,2.305624567,1,34
2.190245559,1,1.805622289,1.952639675,1.764576299,1.504558635,1,2.454411092,2.598915999,1,35
2.271702054,1,1.799370236,2.412610934,1.805622289,1.952639675,1,2.591790341,2.709547423,1,36
2.02525779,1,1.709572836,2.486797734,1.799370236,2.412610934,-1,2.40465948,2.473019443,1,37
1.972997021,1,1.674626706,2.362585564,1.709572836,2.486797734,-1,2.396409475,2.439433343,1,38
1.976403306,1,1.68363395,1.998473039,1.674626706,2.362585564,1,2.53375116,2.554602542,1,39
1.887985404,1,1.577754855,1.588929111,1.68363395,1.998473039,1,2.387748438,2.451159044,1,40
1.762157048,1,1.398977917,1.416551907,1.577754855,1.588929111,-1,2.103136062,2.283746304,1,41
1.786344668,1,1.309674421,1.682489823,1.398977917,1.416551907,-1,2.198855592,2.452566418,1,42
2.232510407,1,1.304847075,2.040145401,1.309674421,1.682489823,1,2.605894788,2.773958417,1,43
2.272233856,1,1.234066154,2.091362929,1.304847075,2.040145401,1,2.525902387,2.661653211,1,44
1.824785851,1,1.125506873,1.938413287,1.234066154,2.091362929,-1,1.955016586,2.056272474,1,45
1.416581127,1,1.079906864,1.634115822,1.125506873,1.938413287,-1,1.553526842,1.574452289,1,46
1.257307728,1,1.051692793,1.333748639,1.079906864,1.634115822,1,1.228222697,1.148720132,1,47
0.961623001,1,0.95602318,1.160869029,1.051692793,1.333748639,1,0.732885018,0.756173632,1,48
0.707078235,1,0.507091114,0.894758753,0.95602318,1.160869029,1,0.551113687,0.471538727,2,1
0.614444536,1,0.443914643,0.800691396,0.507091114,0.894758753,1,0.502897059,0.443088659,2,2
0.457542785,1,0.359953005,0.659386167,0.443914643,0.800691396,-1,0.407925613,0.366436645,2,3
0.376319444,1,0.299070725,0.56945329,0.359953005,0.659386167,-1,0.360587141,0.327142703,2,4
0.357268044,1,0.259645531,0.515794922,0.299070725,0.56945329,1,0.351079061,0.316979986,2,5
0.304607816,1,0.216726322,0.454300575,0.259645531,0.515794922,1,0.310979555,0.275616,2,6
0.254233985,1,0.174904176,0.403020002,0.216726322,0.454300575,-1,0.253218366,0.220879607,2,7
0.253422797,1,0.151477793,0.394571124,0.174904176,0.403020002,-1,0.232009154,0.198198113,2,8
0.28784535,1,0.144062112,0.417143295,0.151477793,0.394571124,1,0.233323712,0.195582135,2,9
0.297745358,1,0.144194975,0.427577262,0.144062112,0.417143295,1,0.216922373,0.175488764,2,10
0.286950706,1,0.164399755,0.430431613,0.144194975,0.427577262,-1,0.188082585,0.146211778,2,11
0.313906862,1,0.238076879,0.502553179,0.164399755,0.430431613,-1,0.221361289,0.170587874,2,12
0.461622889,1,0.40180014,0.755503459,0.238076879,0.502553179,1,0.427017519,0.339531363,2,13
0.853159424,1,0.652395514,1.243123229,0.40180014,0.755503459,1,0.860595422,0.73327616,2,14
1.373424597,1,0.957363637,1.85907609,0.652395514,1.243123229,-1,1.40602164,1.282511594,2,15
1.96175646,1,1.351131879,2.522895425,0.957363637,1.85907609,-1,2.061989663,2.013576582,2,16
2.796375544,1,1.832961324,3.112332526,1.351131879,2.522895425,1,2.817895929,2.87234908,2,17
2.860278726,1,2.160881282,3.161425707,1.832961324,3.112332526,1,3.028865984,3.11626769,2,18
2.384386724,1,2.243143469,2.705098607,2.160881282,3.161425707,-1,2.687851558,2.748967427,2,19
2.244926709,1,2.289757882,2.268974049,2.243143469,2.705098607,-1,2.477040061,2.472782579,2,20
2.39646331,1,2.343196514,1.993757606,2.289757882,2.268974049,1,2.465058726,2.428435818,2,21
2.203139954,1,2.237430692,1.719971144,2.343196514,1.993757606,1,2.332141175,2.223198134,2,22
1.951204848,1,2.052679765,1.508001584,2.237430692,1.719971144,-1,2.092356866,1.986887073,2,23
2.000750538,1,2.015980865,1.490323346,2.052679765,1.508001584,-1,2.116829195,2.05297009,2,24
2.330341885,1,2.114903401,1.63938286,2.015980865,1.490323346,1,2.373404076,2.405918286,2,25
2.396541055,1,2.146557342,1.730632799,2.114903401,1.63938286,1,2.417994574,2.488541944,2,26
2.25162783,1,2.102041404,1.728805896,2.146557342,1.730632799,-1,2.260035466,2.275749686,2,27
2.273134903,1,2.168564019,1.804955431,2.102041404,1.728805896,-1,2.29208397,2.274042657,2,28
2.487287028,1,2.347337699,1.988321564,2.168564019,1.804955431,1,2.534012214,2.476425462,2,29
2.4429262,1,2.415836855,2.076630626,2.347337699,1.988321564,1,2.531299331,2.438959722,2,30
2.219490707,1,2.36788886,2.046278592,2.415836855,2.076630626,-1,2.342324421,2.266471163,2,31
2.359878669,1,2.43359446,2.119036954,2.36788886,2.046278592,-1,2.412689653,2.370361973,2,32
2.827611756,1,2.608513986,2.344064145,2.43359446,2.119036954,1,2.773747953,2.732429956,2,33
2.906734053,1,2.633151231,2.49903291,2.608513986,2.344064145,1,2.850135155,2.850492694,2,34
