cnt_answer,gmv,sum_online_time,cnt_call,sum_online_time_lag,cnt_call_lag,cnt_finish,date,time
0.305021865,0.610287673,0.429367122,0.452088028,0,0,0.301934304,1,1
0.233643528,0.418983296,0.298232614,0.456434285,0.429367122,0.452088028,0.210793642,1,2
0.186072904,0.293460185,0.157491029,0.401969941,0.298232614,0.456434285,0.18255297,1,3
0.174089443,0.265820514,0.148050893,0.395269493,0.157491029,0.401969941,0.195474033,1,4
0.241680806,0.375356475,0.15646702,0.49537054,0.148050893,0.395269493,0.252965205,1,5
0.48527966,0.70836585,0.290796624,0.769034533,0.15646702,0.49537054,0.435254049,1,6
1.007415295,1.440596447,0.629420711,1.345478883,0.290796624,0.769034533,0.971620291,1,7
1.524523786,2.409500756,1.372857649,2.064650325,0.629420711,1.345478883,1.54537646,1,8
1.804079872,3.016497295,1.934587349,2.52201043,1.372857649,2.064650325,1.959564147,1,9
1.921685813,3.003614022,2.090454918,2.50999276,1.934587349,2.52201043,2.09937094,1,10
2.069886547,2.885556715,2.091729589,2.235812726,2.090454918,2.50999276,2.291492549,1,11
1.992186236,3.025276039,2.0303658,1.904866263,2.091729589,2.235812726,2.126282745,1,12
1.945962788,3.135375004,1.876683843,1.748137097,2.0303658,1.904866263,1.86528814,1,13
2.148931789,3.125891708,1.701650844,1.792109644,1.876683843,1.748137097,1.910369714,1,14
2.388530352,3.007449784,1.848145326,1.817294373,1.701650844,1.792109644,2.421169176,1,15
1.973993799,2.482612138,1.871470353,1.755367283,1.848145326,1.817294373,2.172701254,1,16
1.678340201,2.284879358,2.008557855,1.628453777,1.871470353,1.755367283,1.918829276,1,17
1.721427759,2.816343711,2.136522951,1.663609371,2.008557855,1.628453777,1.838065222,1,18
2.164623903,3.327329716,2.368780263,1.999880313,2.136522951,1.663609371,2.310945773,1,19
2.012432775,2.991499428,2.541543425,2.324489511,2.368780263,1.999880313,2.092655894,1,20
1.921588246,2.745755627,2.356489961,2.563567508,2.541543425,2.324489511,2.18767189,1,21
1.662345962,2.785193861,1.85229454,2.414936885,2.356489961,2.563567508,1.930948677,1,22
1.246390933,2.299682917,1.510378721,1.8678878,1.85229454,2.414936885,1.421828885,1,23
0.757814976,1.088267366,1.074710681,1.106165174,1.510378721,1.8678878,0.861717064,1,24
0.340853961,0.503648733,0.375151483,0.405024314,1.074710681,1.106165174,0.330348689,2,1
0.274310801,0.38924745,0.277150774,0.386366496,0.375151483,0.405024314,0.247044472,2,2
0.189841092,0.315648152,0.193974767,0.357514983,0.277150774,0.386366496,0.181600477,2,3
0.163014811,0.266956621,0.176880486,0.350659052,0.193974767,0.357514983,0.182612692,2,4
0.238102042,0.280171638,0.277841133,0.467031301,0.176880486,0.350659052,0.247454208,2,5
0.48488895,0.560471508,0.546738017,0.848590812,0.277841133,0.467031301,0.444043494,2,6
0.945433155,1.10273882,1.004067043,1.566986354,0.546738017,0.848590812,0.907110004,2,7
1.496631851,2.660683729,1.576207053,2.27175301,1.004067043,1.566986354,1.50263069,2,8
1.962385917,3.47516907,2.113304409,2.576153522,1.576207053,2.27175301,2.162268221,2,9
1.950941919,2.914031377,2.44462634,2.450979,2.113304409,2.576153522,2.135477114,2,10
1.926804837,2.553696754,2.467757507,2.228568567,2.44462634,2.450979,2.093425992,2,11
2.065280044,2.479669361,2.212840602,2.046823413,2.467757507,2.228568567,2.229744808,2,12
2.048148088,2.414810673,1.937306168,2.049211242,2.212840602,2.046823413,1.950627466,2,13
2.239891618,2.408390136,1.814167689,2.217780199,1.937306168,2.049211242,1.986199322,2,14
2.343705816,2.705612917,1.862533074,2.315982815,1.814167689,2.217780199,2.326370742,2,15
2.214351493,2.570526277,2.011260011,2.011194085,1.862533074,2.315982815,2.465031125,2,16
1.9435479,2.745962449,2.144486054,1.707287737,2.011260011,2.011194085,2.171619345,2,17
1.880341542,2.865616534,2.297662252,1.685720529,2.144486054,1.707287737,2.055311848,2,18
1.826859487,2.884552894,2.525261292,2.064239464,2.297662252,1.685720529,1.941899124,2,19
1.718210938,2.936983151,2.646283831,2.388331181,2.525261292,2.064239464,1.843459704,2,20
1.647459584,2.572063297,2.567611092,2.582534067,2.646283831,2.388331181,1.837962118,2,21
1.773913056,2.336093021,2.231233739,2.249445539,2.567611092,2.582534067,2.114008911,2,22
1.254148384,2.035058069,1.669377901,1.616024734,2.231233739,2.249445539,1.423638928,2,23
